poem_title,section,slug,path,versions,author_lines,viewport_width,content_width,font_size,font_family,automatic_wraps,affected_lines,affected_line_share,wrap_free
Пытки,different,torture,/different/torture,2,72,393,357,17,"""Times New Roman"", Times, serif",4,4,0.055556,false
Пытки,different,torture,/different/torture,2,72,393,357,16,"""Times New Roman"", Times, serif",2,2,0.027778,false
Пытки,different,torture,/different/torture,2,72,414,378,18,"""Times New Roman"", Times, serif",4,4,0.055556,false
Пытки,different,torture,/different/torture,2,72,414,378,17,"""Times New Roman"", Times, serif",2,2,0.027778,false
Пытки,different,torture,/different/torture,2,72,414,378,16,"""Times New Roman"", Times, serif",0,0,0.000000,true
Пытки,different,torture,/different/torture,2,72,480,444,18,"""Times New Roman"", Times, serif",0,0,0.000000,true
Пытки,different,torture,/different/torture,2,72,480,444,17,"""Times New Roman"", Times, serif",0,0,0.000000,true
Пытки,different,torture,/different/torture,2,72,480,444,16,"""Times New Roman"", Times, serif",0,0,0.000000,true
Пытки,different,torture,/different/torture,2,72,500,464,18,"""Times New Roman"", Times, serif",0,0,0.000000,true
Пытки,different,torture,/different/torture,2,72,500,464,17,"""Times New Roman"", Times, serif",0,0,0.000000,true
Пытки,different,torture,/different/torture,2,72,500,464,16,"""Times New Roman"", Times, serif",0,0,0.000000,true
Пытки,different,torture,/different/torture,2,72,535,499,18,"""Times New Roman"", Times, serif",0,0,0.000000,true
Пытки,different,torture,/different/torture,2,72,535,499,17,"""Times New Roman"", Times, serif",0,0,0.000000,true
Пытки,different,torture,/different/torture,2,72,535,499,16,"""Times New Roman"", Times, serif",0,0,0.000000,true
Пытки,different,torture,/different/torture,2,72,536,500,18,"""Times New Roman"", Times, serif",0,0,0.000000,true
Пытки,different,torture,/different/torture,2,72,536,500,17,"""Times New Roman"", Times, serif",0,0,0.000000,true
Пытки,different,torture,/different/torture,2,72,536,500,16,"""Times New Roman"", Times, serif",0,0,0.000000,true
Пытки,different,torture,/different/torture,2,72,760,724,18,"""Times New Roman"", Times, serif",0,0,0.000000,true
Пытки,different,torture,/different/torture,2,72,760,724,17,"""Times New Roman"", Times, serif",0,0,0.000000,true
Пытки,different,torture,/different/torture,2,72,760,724,16,"""Times New Roman"", Times, serif",0,0,0.000000,true
Впечатление от театра,different,impression-of-the-theater,/different/impression-of-the-theater,3,96,320,284,18,"""Times New Roman"", Times, serif",49,49,0.510417,false
Впечатление от театра,different,impression-of-the-theater,/different/impression-of-the-theater,3,96,320,284,17,"""Times New Roman"", Times, serif",38,38,0.395833,false
Впечатление от театра,different,impression-of-the-theater,/different/impression-of-the-theater,3,96,320,284,16,"""Times New Roman"", Times, serif",28,28,0.291667,false
Впечатление от театра,different,impression-of-the-theater,/different/impression-of-the-theater,3,96,360,324,18,"""Times New Roman"", Times, serif",26,26,0.270833,false
Впечатление от театра,different,impression-of-the-theater,/different/impression-of-the-theater,3,96,360,324,17,"""Times New Roman"", Times, serif",22,22,0.229167,false
Впечатление от театра,different,impression-of-the-theater,/different/impression-of-the-theater,3,96,360,324,16,"""Times New Roman"", Times, serif",9,9,0.093750,false
Впечатление от театра,different,impression-of-the-theater,/different/impression-of-the-theater,3,96,384,348,18,"""Times New Roman"", Times, serif",18,18,0.187500,false
Впечатление от театра,different,impression-of-the-theater,/different/impression-of-the-theater,3,96,384,348,17,"""Times New Roman"", Times, serif",9,9,0.093750,false
Впечатление от театра,different,impression-of-the-theater,/different/impression-of-the-theater,3,96,384,348,16,"""Times New Roman"", Times, serif",2,2,0.020833,false
Впечатление от театра,different,impression-of-the-theater,/different/impression-of-the-theater,3,96,390,354,18,"""Times New Roman"", Times, serif",16,16,0.166667,false
Впечатление от театра,different,impression-of-the-theater,/different/impression-of-the-theater,3,96,390,354,17,"""Times New Roman"", Times, serif",9,9,0.093750,false
Впечатление от театра,different,impression-of-the-theater,/different/impression-of-the-theater,3,96,390,354,16,"""Times New Roman"", Times, serif",1,1,0.010417,false
Впечатление от театра,different,impression-of-the-theater,/different/impression-of-the-theater,3,96,393,357,18,"""Times New Roman"", Times, serif",14,14,0.145833,false
Впечатление от театра,different,impression-of-the-theater,/different/impression-of-the-theater,3,96,393,357,17,"""Times New Roman"", Times, serif",6,6,0.062500,false
Впечатление от театра,different,impression-of-the-theater,/different/impression-of-the-theater,3,96,393,357,16,"""Times New Roman"", Times, serif",0,0,0.000000,true
Впечатление от театра,different,impression-of-the-theater,/different/impression-of-the-theater,3,96,414,378,18,"""Times New Roman"", Times, serif",6,6,0.062500,false
Впечатление от театра,different,impression-of-the-theater,/different/impression-of-the-theater,3,96,414,378,17,"""Times New Roman"", Times, serif",0,0,0.000000,true
Впечатление от театра,different,impression-of-the-theater,/different/impression-of-the-theater,3,96,414,378,16,"""Times New Roman"", Times, serif",0,0,0.000000,true
Впечатление от театра,different,impression-of-the-theater,/different/impression-of-the-theater,3,96,480,444,18,"""Times New Roman"", Times, serif",0,0,0.000000,true
Впечатление от театра,different,impression-of-the-theater,/different/impression-of-the-theater,3,96,480,444,17,"""Times New Roman"", Times, serif",0,0,0.000000,true
Впечатление от театра,different,impression-of-the-theater,/different/impression-of-the-theater,3,96,480,444,16,"""Times New Roman"", Times, serif",0,0,0.000000,true
Впечатление от театра,different,impression-of-the-theater,/different/impression-of-the-theater,3,96,500,464,18,"""Times New Roman"", Times, serif",0,0,0.000000,true
